source,relationship,target
2668,TOOK_OVER_FROM,2667
2667,SEE_ALSO,2668
2667,SEE_ALSO,2669
2667,SEE_ALSO,426
2669,SEE_ALSO,2668
2668,SUCCEEDED__BY,2992
263,SEE_ALSO,2670
2670,SEE_ALSO,263
2670,SUCCEEDED__BY,2671
4063,SEE_ALSO,2670
4063,PARTNERSHIP,2671
409,SEE_ALSO,1145
2671,SEE_ALSO,4063
2671,TOOK_OVER_FROM,2670
4901,APPRENTICED_TO,1353
3593,PARTNERSHIP,3592
5739,CHILD_OF,1733
8806,SEE_ALSO,4465
3593,SEE_ALSO,3591
3592,SEE_ALSO,3591
3592,SEE_ALSO,3593
1734,TOOK_OVER_FROM,1733
1325,APPRENTICED_TO,283
283,PARENT_OF,1325
283,HAD_APPRENTICE,1325
1325,CHILD_OF,283
283,HAD_APPRENTICE,5298
1997,APPRENTICED_TO,5387
2673,SUPPLIED_TO,4600
3944,APPRENTICED_TO,3998
3944,HAD_APPRENTICE,3980
3944,HAD_APPRENTICE,3110
3945,APPRENTICED_TO,1824
1998,HAD_APPRENTICE,4650
4686,SUCCEEDED__BY,6194
4685,SAME_PREMISES_AS,1999
4685,SEE_ALSO,2085
4685,SEE_ALSO,4683
4683,SEE_ALSO,4685
4683,APPRENTICED_TO,2085
1584,ASSOCIATED_WITH,566
37,ASSOCIATED_WITH,945
37,HAD_APPRENTICE,2545
1271,HAD_APPRENTICE,1127
1271,HAD_APPRENTICE,1324
1271,HAD_APPRENTICE,1326
1127,APPRENTICED_TO,1271
1127,CHILD_OF,1271
1326,CHILD_OF,1271
1326,APPRENTICED_TO,1271
1071,HAD_APPRENTICE,2266
1071,APPRENTICED_TO,430
1271,HAD_APPRENTICE,3744
37,APPRENTICED_TO,1301
37,HAD_APPRENTICE,2532
37,HAD_APPRENTICE,435
37,HAD_APPRENTICE,1179
37,SUCCEEDED__BY,734
37,ASSOCIATED_WITH,518
37,ASSOCIATED_WITH,396
37,ASSOCIATED_WITH,545
1999,SAME_PREMISES_AS,1998
1999,SEE_ALSO,1698
1998,SAME_PREMISES_AS,1999
1998,SUPPLIED_TO,4600
1998,SEE_ALSO,1698
1698,SEE_ALSO,1999
9580,TOOK_OVER_FROM,1995
9580,SUCCEEDED__BY,1995
9481,AGENT_TO,9484
5391,APPRENTICED_TO,548
4606,PARENT_OF,5391
5391,CHILD_OF,4606
5047,SEE_ALSO,5391
411,SEE_ALSO,431
431,HAD_APPRENTICE,2585
431,WORKED_FOR,430
431,EMPLOYED_BY,4424
431,EMPLOYED_BY,2585
411,APPRENTICED_TO,610
431,TOOK_OVER_FROM,430
431,SEE_ALSO,411
6198,SEE_ALSO,6197
2676,TOOK_OVER_FROM,3012
