source,target,relationship
1745,1746,SUCCEEDED__BY
5728,1744,SEE_ALSO
1744,5728,SUCCEEDED__BY
1744,1736,TOOK_OVER_FROM
105,103,SEE_ALSO
4637,312,APPRENTICED_TO
312,207,WORKED_FOR
312,519,EMPLOYED_BY
312,741,PARENT_OF
312,174,ASSOCIATED_WITH
312,545,ASSOCIATED_WITH
312,518,ASSOCIATED_WITH
312,4637,HAD_APPRENTICE
21,273,APPRENTICED_TO
21,541,SAME_PREMISES_AS
21,845,ASSOCIATED_WITH
21,3854,SPOUSE_OF
273,272,CHILD_OF
273,5357,HAD_APPRENTICE
273,1372,SIBLING_OF
273,1315,APPRENTICED_TO
3854,21,SPOUSE_OF
3854,541,SUCCEEDED__BY
541,845,SUCCEEDED__BY
541,3854,TOOK_OVER_FROM
541,675,SIBLING_OF
541,1392,APPRENTICED_TO
845,182,APPRENTICED_TO
845,541,TOOK_OVER_FROM
1679,325,APPRENTICED_TO
1679,559,CHILD_OF
559,2085,HAD_APPRENTICE
559,1679,PARENT_OF
6105,6104,SEE_ALSO
2085,2914,ASSOCIATED_WITH
2085,2797,SEE_ALSO
2085,2086,PARENT_OF
2085,2088,SUCCEEDED__BY
2085,2111,HAD_APPRENTICE
2085,4918,PARENT_OF
2085,4683,HAD_APPRENTICE
2085,559,APPRENTICED_TO
1052,24,APPRENTICED_TO
24,641,APPRENTICED_TO
24,1052,HAD_APPRENTICE
24,4751,HAD_APPRENTICE
24,1094,HAD_APPRENTICE
9323,9278,TOOK_OVER_FROM
9278,5495,TOOK_OVER_FROM
1740,3274,HAD_APPRENTICE
1740,1000,APPRENTICED_TO
1000,2928,HAD_APPRENTICE
1000,2469,HAD_APPRENTICE
1000,806,HAD_APPRENTICE
1000,3950,HAD_APPRENTICE
1000,1801,HAD_APPRENTICE
1000,1740,HAD_APPRENTICE
1000,2557,APPRENTICED_TO
1000,2430,APPRENTICED_TO
10451,10422,SEE_ALSO
10422,10451,SEE_ALSO
8932,2536,APPRENTICED_TO
8932,749,WORKED_FOR
2536,2112,APPRENTICED_TO
2536,2742,HAD_APPRENTICE
2536,23,HAD_APPRENTICE
2536,49,ASSOCIATED_WITH
2536,345,PARENT_OF
2536,8932,HAD_APPRENTICE
102,104,SAME_PREMISES_AS
104,102,SAME_PREMISES_AS
6107,4640,TOOK_OVER_FROM
6107,6106,SEE_ALSO
3393,869,HAD_APPRENTICE
3393,5483,APPRENTICED_TO
869,5594,EMPLOYED_BY
641,1867,HAD_APPRENTICE
641,354,APPRENTICED_TO
641,2778,HAD_APPRENTICE
641,3362,ASSOCIATED_WITH
641,377,ASSOCIATED_WITH
641,182,ASSOCIATED_WITH
641,357,ASSOCIATED_WITH
641,164,ASSOCIATED_WITH
641,1485,HAD_APPRENTICE
641,876,PARTNERSHIP
5483,3393,HAD_APPRENTICE
5483,3387,HAD_APPRENTICE
5483,5481,APPRENTICED_TO
6108,10367,SUCCEEDED__BY
10367,6108,TOOK_OVER_FROM
6111,2890,WORKED_FOR
2890,4307,SUCCEEDED__BY
2890,6111,EMPLOYED_BY
10076,8919,SUCCEEDED__BY
8919,10207,SEE_ALSO
